# Lane L3 reap evidence, generated 2026-08-14. Recovery: git branch <name> <OID>
#name	oid	pr	last_commit_date	pr_state
chore/bump-dompurify-lockfile	e0edf17d0d5bc523d1375cc0e139b5cbcd5306d8	none	2026-08-07T16:13:14+03:00	none
chore/cc-adoption-2.1.215-218	07993e7518f73b7932d90d521d029b43f1e5e337	none	2026-07-23T02:54:10+03:00	none
chore/reap-merged-branches	04ea99f64a0fb56b5f781fd1521a2ef46ac92e1b	none	2026-08-14T13:55:24+03:00	none
dep3379-local	72b44f5240781203ddb179fc4716f3b6752009bf	none	2026-08-10T07:52:15+03:00	none
dep3381-local	40fb383e02561cdaa6424db9624aceebf97c5fbf	none	2026-08-10T08:30:56+03:00	none
feat/3315-worktree-baseref-include	a4ef85b781bd000c38ba8ce26d7586c16bd9aafe	none	2026-08-13T13:48:05+03:00	none
feat/3325-autocompactwindow	a9e721a9541d132b5c94324c9825038bf1182fa7	3427	2026-08-11T10:10:53+03:00	MERGED
feat/adopt-cross-session-messaging	cdff9fcd2d30304848a612e7684f4fada76b3917	none	2026-08-09T07:15:18+03:00	none
fix/3308-cache-break-fake-cost	057bf934a5d7a4f4bf12acdf855cafee8fed2e01	3403	2026-08-10T14:40:06+03:00	MERGED
fix/3313-false-slash-only-comments	95f1ecf92dfd474f628461346e3f46afec201a3a	3405	2026-08-10T17:24:01+03:00	MERGED
fix/3317-goal-brake-real-turns	bccfff90990bfedeef87e645fbfe0f084ceda57d	none	2026-08-09T19:30:25+03:00	none
fix/3348-pipebuf-lint	be9b29bc333504580d80bf9cee5a52e757a914ee	none	2026-08-11T18:19:15+03:00	none
fix/3350-stable-pin-bump	bccfff90990bfedeef87e645fbfe0f084ceda57d	none	2026-08-09T19:30:25+03:00	none
fix/3430-restrict-bash-dispatcher	537e778a0d8dc847853f3996caeceee915ca3733	none	2026-08-12T01:07:55+03:00	none
fix/3430-restrict-bash-ungated	7f8d60b37579310e31914dc6067e1cff4ac86c75	3449	2026-08-12T08:30:00+03:00	MERGED
fix/3450-precompact-guard-auto	cb8e0552263009cbc82f0710e8f23bf6eb1336c4	3452	2026-08-12T09:35:43+03:00	MERGED
fix/3453-ifs-read-idiom	4c68fec83ef74106103d11ab1e478a73f0f84e24	3454	2026-08-12T10:45:28+03:00	MERGED
fix/3455-push-refspec	b6769c0c6c81be7dcf4c8da02779fbbf4470cf21	3475	2026-08-13T15:05:28+03:00	MERGED
fix/elicit-doc-leftovers	ab427079e01fcbd83aea56f62a6416085b035e64	3402	2026-08-10T14:19:49+03:00	MERGED
